# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0.0524        	1.799083e-04	5.269583e-04	1.666802e-04	1.448289e-04	2.595285e-04
0.05241       	1.814439e-04	5.269113e-04	1.649540e-04	1.442830e-04	2.578231e-04
0.05242       	1.807594e-04	5.260995e-04	1.613514e-04	1.438865e-04	2.563081e-04
0.05243       	1.811743e-04	5.259177e-04	1.604327e-04	1.433345e-04	2.545469e-04
0.05244       	1.828416e-04	5.259130e-04	1.599296e-04	1.429203e-04	2.529256e-04
0.05245       	1.836726e-04	5.259606e-04	1.593060e-04	1.425381e-04	2.515586e-04
0.05246       	1.850868e-04	5.262016e-04	1.589264e-04	1.422862e-04	2.512625e-04
0.05247       	1.859239e-04	5.270497e-04	1.584746e-04	1.422491e-04	2.510759e-04
0.05248       	1.879039e-04	5.275036e-04	1.581561e-04	1.418735e-04	2.510899e-04
0.05249       	1.885919e-04	5.282164e-04	1.578233e-04	1.417339e-04	2.509075e-04
0.0525        	1.895061e-04	5.282095e-04	1.575656e-04	1.415894e-04	2.506663e-04
0.05251       	1.902594e-04	5.286898e-04	1.573542e-04	1.414933e-04	2.504904e-04
0.05252       	1.909788e-04	5.285083e-04	1.571608e-04	1.413690e-04	2.503559e-04
0.05253       	1.916886e-04	5.287400e-04	1.569626e-04	1.412615e-04	2.504258e-04
0.05254       	1.924461e-04	5.284753e-04	1.567352e-04	1.411285e-04	2.503826e-04
0.05255       	1.926229e-04	5.288831e-04	1.565967e-04	1.410856e-04	2.503219e-04
0.05256       	1.930958e-04	5.288991e-04	1.564487e-04	1.410077e-04	2.504105e-04
0.05257       	1.939145e-04	5.295467e-04	1.564399e-04	1.409666e-04	2.505321e-04
0.05258       	1.943675e-04	5.298821e-04	1.564688e-04	1.408794e-04	2.506133e-04
0.05259       	1.950501e-04	5.307220e-04	1.566275e-04	1.408152e-04	2.508442e-04
0.0526        	1.955435e-04	5.311660e-04	1.567515e-04	1.407106e-04	2.510016e-04
0.05261       	1.964625e-04	5.320428e-04	1.569430e-04	1.406462e-04	2.511941e-04
0.05262       	1.968822e-04	5.324668e-04	1.571179e-04	1.405313e-04	2.514686e-04
0.05263       	1.982589e-04	5.333439e-04	1.572469e-04	1.404837e-04	2.517726e-04
0.05264       	1.980700e-04	5.336125e-04	1.574828e-04	1.403788e-04	2.519548e-04
0.05265       	1.995067e-04	5.342768e-04	1.580000e-04	1.402826e-04	2.518752e-04
0.05266       	1.991081e-04	5.344964e-04	1.582571e-04	1.401846e-04	2.519014e-04
0.05267       	2.006566e-04	5.351447e-04	1.585580e-04	1.401528e-04	2.518388e-04
0.05268       	1.999680e-04	5.354044e-04	1.588058e-04	1.400742e-04	2.517139e-04
